periodo,valor
2023-2-03,63.85
2023-2-06,63.85
2023-2-07,63.85
2023-2-08,63.85
2023-2-09,63.85
2023-2-10,63.85
2023-2-13,63.85
2023-2-14,63.85
2023-2-15,63.85
2023-2-16,63.75
2023-2-17,63.65
2023-2-20,63.45
2023-2-21,63.25
2023-2-22,61.45
2023-2-23,59.85
2023-2-24,59.35
2023-2-27,59.35
2023-2-28,59.05
2023-3-01,59.05
2023-3-02,59.05
2023-3-03,59.05
2023-3-06,59.05
2023-3-07,57.35
2023-3-08,57.35
2023-3-09,57.15
2023-3-10,57.15
2023-3-13,57.15
2023-3-14,57.15
2023-3-15,56.85
2023-3-16,56.15
2023-3-17,55.85
2023-3-20,55.35
2023-3-21,55.35
2023-3-22,55.35
2023-3-23,55.35
2023-3-24,55.15
2023-3-27,55.15
2023-3-28,55.15
2023-3-29,54.65
2023-3-30,54.65
2023-3-31,54.15
2023-4-03,54.15
2023-4-04,54.15
2023-4-06,54.15
2023-4-07,54.15
2023-4-10,54.15
2023-4-11,53.95
2023-4-12,53.45
2023-4-13,53.15
2023-4-14,52.65
2023-4-17,52.15
2023-4-18,51.65
2023-4-19,51.65
2023-4-20,51.65
2023-4-21,50.65
2023-4-23,50.65
2023-4-24,50.65
2023-4-25,50.65
2023-4-26,50.65
2023-4-27,50.65
2023-4-28,49.15
2023-5-04,49.15
2023-5-05,47.85
2023-5-06,46.65
2023-5-08,46.65
2023-5-09,46.65
2023-5-10,46.65
2023-5-11,46.65
2023-5-12,46.65
2023-5-15,46.65
2023-5-16,46.65
2023-5-17,46.65
2023-5-18,46.65
2023-5-19,46.65
2023-5-22,46.65
2023-5-23,46.65
2023-5-24,46.65
2023-5-25,46.65
2023-5-26,46.65
2023-5-29,46.65
2023-5-30,46.65
2023-5-31,46.65
2023-6-01,46.65
2023-6-02,46.65
2023-6-05,46.65
2023-6-06,46.15
2023-6-07,46.15
2023-6-08,46.15
2023-6-09,46.15
2023-6-12,46.15
2023-6-13,46.15
2023-6-14,46.15
2023-6-15,46.15
2023-6-16,46.15
2023-6-19,46.15
2023-6-20,46.15
2023-6-21,46.15
2023-6-25,46.15
2023-6-26,46.15
2023-6-27,46.15
2023-6-28,46.15
2023-6-29,46.15
2023-6-30,46.15
2023-7-03,46.15
2023-7-04,46.15
2023-7-05,46.15
2023-7-06,46.15
2023-7-07,45.15
2023-7-10,45.15
2023-7-11,45.15
2023-7-12,45.15
2023-7-13,45.15
2023-7-14,45.15
2023-7-17,45.15
2023-7-18,44.15
2023-7-19,44.15
2023-7-20,44.15
